epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8564,1.7429,3.69056,0.0043,0.81665,0.78685,0.86413,0.43393,1.74763,0.96644,0.00659,0.000662005,0.000662005,0.000662005
2,31.0653,1.67745,1.14847,0.00413,0.86921,0.839,0.91127,0.48716,1.69651,0.69392,0.00626,0.00128483,0.00128483,0.00128483
3,46.0584,1.68257,0.92607,0.00396,0.86795,0.86446,0.93069,0.51022,1.60459,0.65957,0.00592,0.00186365,0.00186365,0.00186365
4,60.9772,1.64535,0.79236,0.0039,0.85982,0.90404,0.94015,0.53922,1.57198,0.67374,0.00589,0.001802,0.001802,0.001802
5,76.1353,1.64951,0.78388,0.00397,0.89995,0.88662,0.93396,0.51093,1.67797,0.59353,0.00649,0.001736,0.001736,0.001736
6,91.4073,1.61936,0.78066,0.00381,0.90232,0.87302,0.94572,0.5853,1.45642,0.59821,0.00496,0.00167,0.00167,0.00167
7,106.688,1.68179,0.80376,0.00412,0.89111,0.88662,0.93696,0.49754,1.70292,0.6212,0.00676,0.001604,0.001604,0.001604
8,122.118,1.56762,0.69706,0.0035,0.92964,0.91156,0.96807,0.60658,1.3804,0.51889,0.00462,0.001538,0.001538,0.001538
9,137.651,1.50856,0.63503,0.00361,0.94969,0.91837,0.96838,0.6346,1.34562,0.46043,0.00484,0.001472,0.001472,0.001472
10,153.014,1.42777,0.62239,0.00326,0.88073,0.93767,0.95607,0.61253,1.38641,0.50455,0.00517,0.001406,0.001406,0.001406
11,168.554,1.49958,0.66216,0.00334,0.90358,0.92063,0.96254,0.64617,1.31057,0.47046,0.0045,0.00134,0.00134,0.00134
12,184.308,1.45125,0.64214,0.00322,0.91965,0.91156,0.96084,0.62457,1.35935,0.50101,0.00484,0.001274,0.001274,0.001274
13,200.437,1.44635,0.61355,0.00321,0.93122,0.92063,0.9714,0.64477,1.32114,0.46494,0.0046,0.001208,0.001208,0.001208
14,217.391,1.36516,0.60371,0.00314,0.92354,0.95465,0.97739,0.66896,1.27099,0.41406,0.00428,0.001142,0.001142,0.001142
15,235.736,1.47858,0.55616,0.00334,0.9141,0.94103,0.96999,0.64067,1.33195,0.4431,0.0044,0.001076,0.001076,0.001076
16,253.58,1.38459,0.5525,0.00307,0.91624,0.92971,0.96981,0.63904,1.32545,0.44404,0.00467,0.00101,0.00101,0.00101
17,269.727,1.36676,0.50634,0.00313,0.93196,0.93174,0.97455,0.67115,1.25153,0.42615,0.00404,0.000944,0.000944,0.000944
18,285.379,1.33304,0.51657,0.00296,0.94414,0.91983,0.97614,0.67121,1.26743,0.40857,0.00422,0.000878,0.000878,0.000878
19,301.196,1.33707,0.50733,0.00286,0.93023,0.93729,0.975,0.62627,1.3847,0.44508,0.00418,0.000812,0.000812,0.000812
20,317.061,1.35773,0.5121,0.00288,0.9552,0.92517,0.9775,0.67393,1.25076,0.40159,0.00411,0.000746,0.000746,0.000746
21,333.27,1.3272,0.46319,0.00317,0.95293,0.91804,0.97584,0.66786,1.254,0.41942,0.00413,0.00068,0.00068,0.00068
22,348.969,1.30501,0.45518,0.00324,0.93204,0.95465,0.9782,0.67824,1.20078,0.39979,0.00404,0.000614,0.000614,0.000614
23,364.681,1.24613,0.43392,0.00307,0.94241,0.94558,0.97388,0.68162,1.21634,0.40577,0.00382,0.000548,0.000548,0.000548
24,380.366,1.24188,0.43277,0.00306,0.93648,0.94785,0.97706,0.68299,1.18999,0.38394,0.00387,0.000482,0.000482,0.000482
25,396.2,1.25222,0.4359,0.00313,0.9151,0.95324,0.9761,0.67308,1.23695,0.39131,0.00412,0.000416,0.000416,0.000416
26,411.835,1.20013,0.40318,0.00298,0.92541,0.95651,0.97514,0.69344,1.1818,0.37678,0.00375,0.00035,0.00035,0.00035
27,427.766,1.17913,0.38766,0.00289,0.92728,0.95421,0.97142,0.67121,1.25473,0.39054,0.00416,0.000284,0.000284,0.000284
28,443.803,1.18261,0.39772,0.00293,0.92134,0.9561,0.97375,0.6789,1.20657,0.39597,0.00392,0.000218,0.000218,0.000218
29,460.146,1.16471,0.388,0.00278,0.91073,0.95918,0.97285,0.68668,1.18671,0.39402,0.00369,0.000152,0.000152,0.000152
30,476.404,1.13861,0.38267,0.00272,0.91706,0.95281,0.97546,0.69821,1.17058,0.38447,0.00371,8.6e-05,8.6e-05,8.6e-05
